List	ID	Language	Variety	AoA	Years	Proficiency
1	pl261	Portuguese		0	46.0	native
2	pl262	Portuguese	Brazil	0	29.0	native
3	l172	Spanish		10	16.0	advanced
3	l172	Arabic		20	4.0	intermediate
4	pl2243	Portuguese	Brazil	0	30.0	native
4	pl2243	Spanish		18	4.0	intermediate
6	pl2239	Portuguese	Brazil	0	26.0	native
7	pl2240	Portuguese	Brazil	0	36.0	native
7	pl2240	Spanish		20	2.0	intermediate
8	l166					
9	l167					
10	l168					
11	cl264	Chinese		0	29.0	native
12	l145					
13	l169					
14	sl2266	Spanish	Spain	0	38.0	native
15	jl265	Japanese		0	36.0	native
16	pl2262	Portuguese	Brazil	0	22.0	native
16	pl2262	French		21	1.0	advanced
16	pl2262	Spanish		14	7.0	advanced
17	sl269	Spanish		0	26.0	native
18	l171					
19	pl2242	Portuguese	Brazil	0	31.0	native
20	cl271	Chinese		0	21.0	native
21	sl275	Spanish		0	21.0	native
21	sl275	French		19	2.0	beginner
22	jl276	Japanese		0	39.0	native
23	l175					
24	cl277	Chinese	Mandarin	0	27.0	native
25	l174	Spanish		14	2.0	beginner
26	cl278	Chinese	Mandarin	0	33.0	native
27	pl279	Portuguese		0	19.0	native
27	pl279	Spanish		19	1.0	beginner
28	pl2246	Portuguese	Brazil	0	25.0	native
28	pl2246	French		20	1.0	beginner
29	pl281	Portuguese		0	27.0	native
30	l176					
31	pl254	Portuguese		0	24.0	native
32	cl282	Chinese	Mandarin	0	21.0	native
33	pl2248	Portuguese	Portugal	0	30.0	native
33	pl2248	French		12	4.0	beginner
33	pl2248	Italian		24	1.0	beginner
34	cl283	Chinese		0	25.0	native
35	cl284	Chinese	Mandarin	0	28.0	native
36	jl286	Japanese		0	29.0	native
37	l178	French		11	5.0	intermediate
38	cl287	Chinese	Mandarin	0	19.0	native
39	cl288	Chinese	Mandarin	0	19.0	native
40	pl289	Portuguese		0	18.0	native
41	sl290	Spanish	Argentina	0	26.0	native
42	l179					
43	sl291	Spanish		0	28.0	native
43	sl291	French		14	8.0	intermediate
44	sl292	Spanish		0	30.0	native
44	sl292	Italian		22	4.0	advanced
45	l181					
46	l182	Spanish		0	21.0	intermediate
47	cl294	Chinese		0	25.0	native
48	sl295	Spanish		0	25.0	native
49	l183	Spanish		4	9.0	advanced
49	l183	Russian		20	1.0	intermediate
50	l184					
51	cl296	Chinese	Mandarin	0	20.0	native
52	sl297	Spanish		0	18.0	native
52	sl297	French		16	2.0	intermediate
53	l185	Spanish		13	9.0	intermediate
54	cl298	Chinese	Mandarin	0	24.0	native
55	sl299	Spanish		0	29.0	native
55	sl299	German		27	2.0	intermediate
56	cl2100	Chinese	Mandarin	0	19.0	native
57	l186	Spanish		13	4.0	beginner
58	jl2103	Japanese		0	29.0	native
59	jl2104	Japanese		0	29.0	native
60	cl2105	Chinese	Mandarin	0	17.0	native
61	cl2107	Chinese	Mandarin	0	26.0	native
61	cl2107	Chinese	Cantonese	10	10.0	advanced
62	jl2108	Japanese		0	21.0	native
63	cl2109	Chinese	Mandarin	2	25.0	native
64	l187	French		12	7.0	beginner
65	sl2111	Spanish		0	23.0	native
66	cl2112	Chinese	Cantonese	0	43.0	native
66	cl2112	Chinese	Mandarin	0	43.0	native
67	l188	Spanish		14	5.0	advanced
67	l188	French		16	3.0	intermediate
68	sl2113	Spanish		0	24.0	native
68	sl2113	Basque		2	22.0	advanced
68	sl2113	Italian		20	4.0	advanced
69	pl2249	Portuguese		0	26.0	native
69	pl2249	Spanish		22	4.0	beginner
70	pl2115	Portuguese	Brazil	0	30.0	native
70	pl2115	Spanish		13	4.0	beginner
71	sl2116	Spanish	Spain	0	24.0	native
71	sl2116	Italian		19	2.0	intermediate
72	sl2117	Catalan	Spain	0	23.0	native
72	sl2117	Spanish	Spain	0	23.0	native
73	cl2118	Chinese	Mandarin	0	42.0	native
74	pl2123	Portuguese	Brazil	0	36.0	native
74	pl2123	Spanish		30	6.0	intermediate
75	pl2124	Portuguese	Brazil	0	26.0	native
76	pl2125	Portuguese		0	23.0	native
76	pl2125	Spanish		21	2.0	beginner
77	cl2126	Chinese	Mandarin	0	26.0	native
78	l189	Yiddish		0	20.0	native
79	sl2127	Spanish	Spain	0	26.0	native
80	sl2128	Spanish		0	23.0	native
81	cl2129	Chinese	Mandarin	0	19.0	native
82	jl2130	Japanese		0	32.0	native
83	pl2131	Portuguese	Brazil	0	31.0	native
84	sl2133	Spanish	Puerto Rico	0	17.0	native
85	cl2134	Chinese		0	23.0	native
86	cl2136	Chinese	Mandarin	0	14.0	native
87	sl2137	Spanish	Mexico	0	23.0	native
88	cl2138	Chinese	Mandarin	0	17.0	native
89	jl2140	Japanese		0	18.0	native
89	jl2140	French		12	3.0	intermediate
90	sl2141	Spanish	Peru	0	21.0	native
90	sl2141	Portuguese		18	2.0	advanced
90	sl2141	German		18	1.0	intermediate
91	sl2143	Spanish	El Salvador	0	18.0	native
91	sl2143	French		15	3.0	intermediate
91	sl2143	Nahuatl		14	2.0	beginner
92	pl2250	Portuguese	Brazil	0	41.0	native
92	pl2250	Spanish		16	4.0	intermediate
93	cl2146	Chinese	Mandarin	0	18.0	native
93	cl2146	French		16	2.0	intermediate
94	jl2258	Japanese		0	38.0	native
95	cl2147	Chinese	Mandarin	0	26.0	native
96	cl2149	Chinese	Mandarin	0	17.0	native
96	cl2149	Latin		22	1.0	beginner
97	sl2150	Catalan	Spain	0	30.0	native
97	sl2150	Spanish	Spain	0	30.0	native
97	sl2150	Italian		22	1.0	advanced
97	sl2150	French		13	4.0	intermediate
97	sl2150	Galician		25	4.0	intermediate
